'1. Block','2. Trial','3. Stimulus','4. Offset','5. fliplr','6. Order','7. Ident Resp','8. Discrim Resp','9. Ident Correct','10. Discrim Correct','11. Ident RT','12. Discrim RT',13. Question Condition',14. Participant ID'
2,112,-4,4,2,2,1,2,1,1,0.353385534,0.609372726,2,S01
2,113,0.5,0.5,2,1,2,1,1,1,0.42731797,0.659155358,2,S01
2,114,-0.25,0.25,1,1,1,2,1,0,0.301876881,0.542414404,2,S01
2,115,-2,2,1,2,1,2,1,1,0.430306359,0.614328319,2,S01
2,116,0.5,0.5,2,2,2,2,1,1,0.340320238,0.564255602,2,S01
2,117,0.25,0.25,2,2,1,1,0,0,0.4851771,0.661129506,2,S01
2,118,8,8,1,1,2,1,1,1,0.3999721,0.647871927,2,S01
2,119,1,1,1,2,1,2,0,1,0.414458843,0.638360398,2,S01
2,120,4,4,1,2,2,2,1,1,2.052976396,2.268935781,2,S01
2,121,-1,1,1,2,2,2,0,1,0.467822712,0.739818913,2,S01
2,122,4,4,1,1,2,1,1,1,0.396430708,0.716141215,2,S01
2,123,0.5,0.5,1,1,2,2,1,0,0.500041165,0.772555052,2,S01
2,124,-4,4,2,1,1,1,1,1,0.321253412,0.641154089,2,S01
2,125,-4,4,1,1,1,1,1,1,0.367685427,0.655664075,2,S01
2,126,1,1,2,2,2,2,1,1,0.362426165,0.658433617,2,S01
2,127,2,2,1,1,2,1,1,1,1.037144879,1.189203456,2,S01
2,128,0.5,0.5,2,2,2,2,1,1,0.935061821,1.230563662,2,S01
2,129,4,4,2,1,2,1,1,1,0.584675655,0.856797127,2,S01
2,130,-0.25,0.25,2,1,2,2,0,0,0.467492782,0.723489633,2,S01
2,131,-1,1,1,1,2,2,0,0,0.343810616,0.656265677,2,S01
2,132,-1,1,2,2,2,1,0,0,0.330375243,0.674340599,2,S01
2,133,8,8,2,1,2,2,1,0,0.39755724,0.701553954,2,S01
2,134,-8,8,1,1,2,1,0,1,0.489174598,0.857122831,2,S01
2,135,1,1,1,1,2,1,1,1,0.347873315,0.643857223,2,S01
2,136,-4,4,2,2,1,2,1,1,0.466432356,0.786450758,2,S01
2,137,-1,1,1,1,1,2,1,0,0.371863436,0.667851267,2,S01
2,138,-0.5,0.5,1,2,1,1,1,0,0.371322206,0.64268994,2,S01
2,139,-4,4,2,2,1,2,1,1,0.753391632,1.049270191,2,S01
2,140,0.25,0.25,2,1,1,2,0,0,0.431796327,0.711778167,2,S01
2,141,2,2,1,2,1,1,0,0,0.735704294,0.999632752,2,S01
2,142,2,2,2,1,1,2,0,0,0.42915598,0.645138004,2,S01
2,143,-0.5,0.5,2,2,1,2,1,1,0.363785731,0.595659945,2,S01
2,144,-1,1,2,2,1,2,1,1,0.369776394,0.601199633,2,S01
2,145,0.5,0.5,1,1,1,1,0,1,0.334911858,0.598996678,2,S01
2,146,2,2,1,1,1,2,0,0,0.532429564,0.828325932,2,S01
2,147,-8,8,2,1,1,1,1,1,0.822681802,1.150586833,2,S01
2,148,2,2,1,2,2,2,1,1,0.883261875,1.139202581,2,S01
2,149,2,2,2,1,2,1,1,1,0.459667127,0.70764423,2,S01
2,150,-0.5,0.5,1,1,1,1,1,1,0.415321551,0.583265679,2,S01
2,151,-4,4,1,1,1,1,1,1,0.600653271,0.752590502,2,S01
2,152,-8,8,2,2,1,2,1,1,0.493356532,0.645301912,2,S01
2,153,0.5,0.5,1,2,1,2,0,1,0.467810034,0.595813893,2,S01
2,154,-1,1,1,2,1,1,1,0,0.705294269,0.865344221,2,S01
